fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.9,0.14,0.45,1.8,0.05,17,114,0.9948,3.33,0.49,10.7,7
6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,5
6.3,0.28,0.22,9.5,0.04,30,111,0.99338,3.05,0.31,10.8,4
6.8,0.25,0.24,4.55,0.053,41,211,0.9955,3.37,0.67,9.5,6
5.4,0.17,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3,6
8.7,0.45,0.4,1.5,0.067,17,100,0.9957,3.27,0.57,10.1,6
8.7,0.22,0.42,2.3,0.053,27,114,0.994,2.99,0.43,10.0,5
6.3,0.33,0.27,1.2,0.046,34,175,0.9934,3.37,0.54,9.4,6
7.5,0.23,0.36,7,0.036,43,161,0.9938,3.04,0.32,11.0,5
5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,8
5.0,0.24,0.19,5,0.043,17,101,0.99438,3.67,0.57,10.0,5
6.3,0.2,0.3,5.9,0.034,35,152,0.99642,3.47,0.4,8.5,6
6.7,0.46,0.27,5.2,0.039,35,96,0.99129,3.16,0.44,12.4,7
6.0,0.17,0.49,1,0.034,26,106,0.992,3.21,0.42,9.8,6
6.8,0.27,0.35,7.8,0.048,76,197,0.9959,3.24,0.43,9.5,6
5.7,0.12,0.26,5.5,0.034,21,99,0.99324,3.09,0.57,9.9,6
6.0,0.22,0.25,11.1,0.056,112,177,0.9961,3.08,0.36,9.4,6
8.1,0.36,0.59,13.6,0.051,60,134,0.99886,2.96,0.39,8.7,5
6.3,0.2,0.24,1.7,0.052,36,135,0.99374,3.8,0.66,10.8,6
5.4,0.265,0.28,7.8,0.052,27,91,0.99432,3.19,0.38,10.4,6
5.0,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6
5.8,0.275,0.3,5.4,0.043,41,149,0.9926,3.33,0.42,10.8,7
8.2,0.52,0.34,1.2,0.042,18,167,0.99366,3.24,0.39,10.6,5
6.7,0.39,0.31,2.7,0.054,27,202,0.9948,3.46,0.57,10.5,6
5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2,6
5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,5
7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,6
6.4,0.225,0.48,2.2,0.115,29,104,0.9918,3.24,0.58,12.1,6
7.6,0.36,0.44,8.3,0.255,28,142,0.9958,3.12,0.43,10.2,6
7.6,0.39,0.46,11.7,0.084,55,170,0.99773,2.91,0.51,9.0,5
7.3,0.21,0.49,1.8,0.038,44,152,0.9912,3.32,0.44,12.6,7
6.8,0.25,0.29,2,0.042,19,189,0.9952,3.46,0.54,10.2,6
7.0,0.21,0.31,6,0.046,29,108,0.9939,3.26,0.5,10.8,6
6.8,0.22,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,6
6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,4
8.2,0.27,0.39,7.8,0.039,49,208,0.9976,3.31,0.51,9.5,6
6.9,0.36,0.35,8.6,0.038,37,125,0.9916,3.0,0.32,12.4,8
6.1,0.21,0.38,1.5,0.039,37,122,0.98972,3.2,0.43,12.0,6
6.0,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,5
6.6,0.55,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9,5
6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,6
7.7,0.34,0.27,8.8,0.063,39,184,0.9969,3.09,0.63,9.2,6
5.9,0.34,0.25,2,0.042,12,110,0.99034,3.02,0.54,11.4,6
5.7,0.32,0.5,2.6,0.049,17,155,0.9927,3.22,0.64,10.0,6
6.4,0.34,0.23,6.3,0.039,37,143,0.9944,3.19,0.65,10.0,6
6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4,5
6.6,0.39,0.22,4,0.038,17,98,0.99018,3.25,0.53,13.0,7
6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,6
7.0,0.15,0.38,15.3,0.045,54,120,0.9975,3.18,0.42,9.8,6
6.5,0.22,0.5,16.4,0.048,36,182,0.99904,3.02,0.49,8.8,6
7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,6
6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,5
6.8,0.24,0.33,3.2,0.049,68,161,0.99324,3.1,0.69,10.2,6
5.7,0.22,0.29,3.5,0.04,27,146,0.98999,3.17,0.36,12.1,6
8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5
6.4,0.24,0.29,11.4,0.051,32,166,0.9968,3.31,0.45,9.5,5
7.2,0.15,0.33,1.1,0.027,16,63,0.9937,3.37,0.4,9.9,5
6.7,0.31,0.32,14.5,0.038,6,79,0.99412,3.14,0.34,12.5,5
7.4,0.26,0.37,9.4,0.047,42,147,0.9982,3.46,0.72,10.0,5
7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6
7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10.0,7
6.4,0.39,0.21,1.2,0.041,35,136,0.99225,3.15,0.46,10.2,5
7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6
5.9,0.18,0.29,4.6,0.032,68,137,0.99159,3.21,0.38,11.3,6
6.1,0.36,0.27,2.1,0.035,16,100,0.9917,3.4,0.71,11.5,7
7.7,0.27,0.49,1.8,0.041,23,86,0.9914,3.16,0.42,12.5,6
6.2,0.21,0.24,1.2,0.051,31,95,0.99036,3.24,0.57,11.3,6
6.8,0.23,0.32,8.6,0.046,47,159,0.99452,3.08,0.52,10.5,6
7.0,0.23,0.35,1.4,0.036,31,113,0.9912,3.16,0.48,10.8,7
7.0,0.26,0.34,10.9,0.038,25,84,0.99432,3.11,0.34,10.9,6
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6
8.0,0.24,0.36,1.5,0.047,17,129,0.9948,3.2,0.54,10.0,6
7.0,0.2,0.34,2.1,0.049,12,136,0.9922,3.25,0.46,11.6,7
6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,6
7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,3
6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,6
6.8,0.16,0.4,2.3,0.037,18,102,0.9923,3.49,0.42,11.4,7
6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,4
6.9,0.16,0.37,1.8,0.034,36,95,0.98952,2.93,0.59,12.0,6
5.9,0.4,0.32,6,0.034,50,127,0.992,3.51,0.58,12.5,7
5.3,0.4,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.75,7
8.3,0.4,0.41,8.2,0.05,15,122,0.9979,3.39,0.49,9.3,5
7.2,0.26,0.24,7,0.023,19,130,0.99176,3.14,0.49,12.8,7
8.5,0.23,0.34,1.3,0.035,54,110,0.99176,3.07,0.55,11.0,7
7.8,0.28,0.22,1.4,0.056,24,130,0.9944,3.28,0.48,9.5,5
4.7,0.67,0.09,1,0.02,5,9,0.98722,3.3,0.34,13.6,5
6.0,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9.0,5
6.7,0.66,0.0,13,0.033,32,75,0.99551,3.15,0.5,10.7,6
5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,6
6.2,0.25,0.48,10,0.044,78,240,0.99655,3.25,0.47,9.5,6
6.5,0.19,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10.0,5
6.1,0.6,0.0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,4
6.6,0.39,0.38,9.7,0.053,49,226,0.99787,3.3,0.57,9.4,6
6.6,0.41,0.31,1.6,0.042,18,101,0.99195,3.13,0.41,10.5,5
8.0,0.43,0.4,12.4,0.168,29,190,0.9991,3.07,0.64,9.2,5
6.3,0.34,0.27,2.5,0.024,40,152,0.99095,3.35,0.6,11.9,7
6.4,0.37,0.12,5.9,0.056,6,91,0.99536,3.06,0.46,8.4,4
6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13.0,7
7.0,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12.0,7
9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1,4
7.5,0.13,0.38,1.1,0.023,42,104,0.99112,3.28,0.53,11.8,6
6.5,0.32,0.23,1.2,0.054,39,208,0.99272,3.18,0.46,9.9,6
6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7
6.9,0.32,0.3,1.8,0.036,28,117,0.99269,3.24,0.48,11.0,6
7.9,0.3,0.6,1.85,0.048,13,106,0.99331,3.24,0.49,11.85,5
7.0,0.61,0.26,1.7,0.051,25,161,0.9946,3.36,0.6,10.6,4
7.2,0.32,0.33,1.4,0.029,29,109,0.9902,3.15,0.51,12.8,7
7.2,0.16,0.49,1.3,0.037,27,104,0.9924,3.23,0.57,10.6,6
5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8
7.0,0.31,0.29,1.4,0.037,33,128,0.9896,3.12,0.36,12.2,7
8.6,0.33,0.34,11.8,0.059,42,240,0.99882,3.17,0.52,10.0,6
4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,4
7.8,0.34,0.35,1.8,0.042,8,167,0.9908,3.11,0.41,12.1,6
8.3,0.22,0.34,1.1,0.043,20,116,0.9927,3.0,0.47,10.2,6
6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7
8.0,0.22,0.31,5.6,0.049,24,97,0.993,3.1,0.42,10.9,5
6.8,0.43,0.3,3.5,0.033,27,135,0.9906,3.0,0.37,12.0,6
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6
6.3,0.39,0.35,5.9,0.04,82.5,260,0.9941,3.12,0.66,10.1,5
6.9,0.24,0.33,12.5,0.046,47,153,0.9983,3.28,0.77,9.6,6
7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,6
7.7,0.31,0.36,4.3,0.026,15,87,0.99152,3.11,0.48,12.0,5
6.9,0.26,0.31,7,0.039,37,175,0.99376,3.32,0.49,11.4,6
7.1,0.38,0.4,2.2,0.042,54,201,0.99177,3.03,0.5,11.4,5
8.1,0.4,0.32,7.9,0.031,23,118,0.99176,3.05,0.46,13.3,7
6.7,0.13,0.57,6.6,0.056,60,150,0.99548,2.96,0.43,9.4,6
7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6
7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,6
6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11.0,7
7.6,0.35,0.47,13.3,0.037,42,116,0.99822,3.04,0.5,9.2,5
6.6,0.13,0.3,4.9,0.058,47,131,0.9946,3.51,0.45,10.3,6
6.8,0.37,0.28,4,0.03,29,79,0.99,3.23,0.46,12.4,7
5.9,0.18,0.28,1,0.037,24,88,0.99094,3.29,0.55,10.65,7
6.6,0.41,0.16,1.4,0.037,28,160,0.99167,2.95,0.45,10.6,6
4.8,0.21,0.21,10.2,0.037,17,112,0.99324,3.66,0.48,12.2,7
6.0,0.22,0.23,5,0.045,10,122,0.99261,2.94,0.63,10.0,6
6.3,0.22,0.33,1.7,0.041,67,164,0.9928,3.32,0.56,10.4,6
6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6
7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5
6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11.0,7
6.4,0.33,0.24,1.6,0.054,25,117,0.9943,3.36,0.5,9.3,5
6.5,0.29,0.32,3,0.036,38,93,0.9906,3.16,0.59,12.0,6
8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,6
6.3,0.48,0.48,1.8,0.035,35,96,0.99121,3.49,0.74,12.2,6
7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,6
7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10.0,5
8.6,0.17,0.28,2.7,0.047,38,150,0.99365,3.1,0.56,10.8,6
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5
6.5,0.39,0.35,1.6,0.049,10,164,0.99516,3.35,0.51,9.7,5
6.4,0.4,0.19,3.2,0.033,28,124,0.9904,3.22,0.54,12.7,7
6.2,0.36,0.38,3.2,0.031,20,89,0.98956,3.06,0.33,12.0,7
6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,5
6.8,0.15,0.41,12.9,0.044,79.5,182,0.99742,3.24,0.78,10.2,6
7.0,0.28,0.32,7.75,0.032,30,114,0.99158,3.12,0.64,12.8,7
6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9.0,6
7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12.0,7
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5
7.2,0.18,0.31,1.1,0.045,20,73,0.9925,3.32,0.4,10.8,7
7.7,0.25,0.43,4.5,0.062,20,115,0.9966,3.38,0.5,9.9,6
6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,6
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5
6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,5
5.9,0.65,0.23,5,0.035,20,128,0.99016,3.46,0.48,12.8,6
8.0,0.25,0.26,14,0.043,41,248,0.9986,3.03,0.57,8.7,6
6.5,0.24,0.19,1.2,0.041,30,111,0.99254,2.99,0.46,9.4,6
6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5
6.7,0.26,0.51,8,0.062,50,194,0.99545,3.13,0.5,9.6,5
8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,6
6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4
7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7
6.1,0.4,0.31,0.9,0.048,23,170,0.993,3.22,0.77,9.5,6
6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,9
6.2,0.2,0.32,2.8,0.05,17,126,0.9936,3.18,0.55,9.4,6
6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,5
6.8,0.32,0.3,1,0.049,22,113,0.99289,3.24,0.61,10.2,5
7.7,0.24,0.29,15.3,0.044,39,194,0.9982,3.06,0.47,9.6,7
6.5,0.33,0.38,2.5,0.047,30,148,0.98964,3.17,0.43,12.7,6
7.3,0.2,0.29,19.9,0.039,69,237,1.00037,3.1,0.48,9.2,6
7.2,0.24,0.28,1.9,0.032,30,92,0.9914,3.1,0.39,10.9,6
7.5,0.38,0.29,12.7,0.05,25,209,0.9986,3.25,0.59,9.3,6
6.9,0.23,0.41,8,0.03,30,114,0.99368,3.22,0.54,11.0,6
8.0,0.26,0.28,4.8,0.05,34,150,0.99437,3.13,0.5,10.0,6
6.0,0.22,0.33,12.2,0.033,25,97,0.99356,3.17,0.42,11.3,7
6.5,0.21,0.37,2.5,0.048,70,138,0.9917,3.33,0.75,11.4,7
6.5,0.21,0.28,1.4,0.046,26,66,0.99199,3.43,0.48,11.1,6
7.4,0.29,0.28,10.2,0.032,43,138,0.9951,3.1,0.47,10.6,6
7.3,0.21,0.33,1,0.037,66,144,0.9923,3.11,0.52,10.2,6
6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6,7
7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3.0,0.38,12.1,7
7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,6
6.6,0.3,0.3,4.8,0.17,60,166,0.9946,3.18,0.47,9.4,5
5.7,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6
6.9,0.14,0.29,9.9,0.056,30,91,0.99512,3.19,0.33,9.9,6
6.6,0.24,0.27,1.4,0.057,33,152, ,3.22,0.56,9.5,6
6.3,0.23,0.49,7.1,0.05,67,210,0.9951,3.23,0.34,9.5,5
8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11.0,6
4.7,0.145,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,6
7.4,0.64,0.47,14.15,0.168,42,185,0.9984,2.9,0.49,9.3,5
7.1,0.47,0.24,6,0.044,11,77,0.9956,3.21,0.56,9.7,5
7.6,0.3,0.38,2.1,0.043,10,98,0.99296,3.17,0.65,11.0,5
6.6,0.26,0.36,1.2,0.035,43,126,0.99094,3.01,0.63,11.4,6
5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,6
5.7,0.16,0.32,1.2,0.036,7,89,0.99111,3.26,0.48,11.0,5
6.2,0.27,0.47,1.2,0.146,28,105,0.99224,3.23,0.51,10.1,5
6.4,0.4,0.25,4.2,0.032,15,91,0.98988,3.26,0.52,13.1,6
5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,9.3,5
6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,4
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6
6.5,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,6
7.4,0.18,0.42,2.1,0.036,33,187,0.9938,3.4,0.41,10.6,7
6.0,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7
6.4,0.3,0.3,2.25,0.038,8,210,0.9937,3.2,0.62,9.9,6
6.8,0.34,0.1,1.4,0.049,29,118,0.9936,3.21,0.41,9.5,5
6.8,0.32,0.23,3.3,0.026,31,99,0.9896,3.1,0.4,12.4,6
7.5,0.42,0.14,10.7,0.046,18,95,0.9959,3.22,0.33,10.7,5
6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4,5
6.5,0.33,0.24,14.5,0.048,20,96,0.99456,3.06,0.3,11.5,8
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
6.8,0.3,0.33,12.8,0.041,60,168,0.99659,3.1,0.56,9.8,5
7.0,0.21,0.22,5.1,0.048,38,168,0.9945,3.34,0.49,10.4,6
8.0,0.61,0.38,12.1,0.301,24,220,0.9993,2.94,0.48,9.2,5
7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9.0,5
6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6
6.9,0.24,0.34,4.7,0.04,43,161,0.9935,3.2,0.59,10.6,6
8.0,0.34,0.49,9,0.033,39,180,0.9936,3.13,0.38,12.3,8
8.0,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,7
8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3.0,0.68,10.4,7
7.0,0.29,0.26,1.6,0.044,12,87,0.9923,3.08,0.46,10.5,6
6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,5
6.8,0.28,0.34,7.5,0.035,34,177,0.99692,3.33,0.43,9.1,5
6.8,0.24,0.29,9.5,0.042,56,157,0.99586,3.11,0.51,10.1,6
7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5
6.9,0.23,0.35,6.9,0.03,45,116,0.99244,2.8,0.54,11.0,6
5.6,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,5
7.6,0.54,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4,5
6.8,0.2,0.25,6.2,0.052,22,106,0.9935,3.09,0.54,10.8,5
6.1,0.36,0.16,6.4,0.037,36,198,0.9944,3.17,0.62,9.9,6
7.1,0.85,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,5
7.0,0.24,0.36,4.9,0.083,10,133,0.9942,3.33,0.37,10.8,6
7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7
6.2,0.26,0.32,15.3,0.031,64,185,0.99835,3.31,0.61,9.4,5
7.3,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8,5
7.1,0.15,0.34,1,0.033,27,73,0.98974,3.24,0.41,12.2,6
6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11.0,7
8.0,0.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6,7
8.0,0.2,0.36,1.2,0.032,21,78,0.9921,3.08,0.37,10.4,6
6.8,0.475,0.33,3.95,0.047,16,81,0.98988,3.23,0.53,13.4,7
8.4,0.36,0.36,11.1,0.032,21,132,0.99313,2.95,0.39,13.0,6
6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5
7.1,0.42,0.2,2.8,0.038,28,109,0.98968,3.23,0.47,13.4,6
7.0,0.33,0.78,9.9,0.042,21,251,0.99435,3.01,0.55,11.0,6
6.2,0.3,0.33,3.5,0.037,37,155,0.98987,3.18,0.37,12.4,6
5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5
6.8,0.19,0.32,7.6,0.049,37,107,0.99332,3.12,0.44,10.7,7
8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,5
7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,6
5.6,0.34,0.3,6.9,0.038,23,89,0.99266,3.25,0.49,11.1,6
7.4,0.3,0.32,1.7,0.03,23,128,0.9929,3.17,0.66,10.9,5
6.1,0.17,0.27,1.5,0.056,45,135,0.9924,3.2,0.43,10.2,6
6.0,0.28,0.34,1.6,0.119,33,104,0.9921,3.19,0.38,10.2,6
5.7,0.22,0.25,1.1,0.05,97,175,0.99099,3.44,0.62,11.1,6
6.9,0.25,0.33,1.2,0.035,35,158,0.99082,3.02,0.58,11.3,6
6.6,0.31,0.28,1.4,0.035,28,107,0.98836,3.0,0.4,13.2,6
6.6,0.24,0.38,8,0.042,56,187,0.99577,3.21,0.46,9.2,5
7.6,0.27,0.34,5,0.04,18,56,0.99084,3.06,0.48,12.4,6
7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9.0,5
7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9.0,6
6.8,0.22,0.49,0.9,0.052,26,128,0.991,3.25,0.35,11.4,6
6.9,0.19,0.38,1.15,0.023,30,105,0.99047,3.11,0.38,11.4,5
5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,7
9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10.0,4
9.7,0.14,0.59,1.5,0.049,23,142,0.9958,2.98,0.62,9.5,5
6.2,0.2,0.33,5.4,0.028,21,75,0.99012,3.36,0.41,13.5,7
6.5,0.22,0.34,12,0.053,55,177,0.9983,3.52,0.44,9.9,6
7.4,0.2,0.31,1.6,0.038,34,116,0.9912,3.25,0.39,12.0,7
7.5,0.24,0.29,1.1,0.046,34,84,0.9902,3.04,0.39,11.45,6
7.2,0.21,1.0,1.1,0.154,46,114,0.9931,2.95,0.43,9.2,6
6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,8
6.1,0.36,0.41,19.35,0.07,67,207,1.00118,3.39,0.53,9.1,5
8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,6
6.2,0.22,0.3,12.4,0.054,108,152,0.99728,3.1,0.47,9.5,6
8.0,0.32,0.36,4.6,0.042,56,178,0.9928,3.29,0.47,12.0,6
7.0,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,6
5.9,0.29,0.25,12,0.057,48,224,0.9981,3.23,0.41,9.0,6
6.3,0.15,0.3,1.4,0.022,38,100,0.99099,3.42,0.57,11.4,7
6.4,0.33,0.3,7.2,0.041,42,168,0.99331,3.22,0.49,11.1,6
6.9,0.36,0.34,4.2,0.018,57,119,0.9898,3.28,0.36,12.7,9
7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5
6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5
8.0,0.23,0.35,9.2,0.044,53,186,0.997,3.09,0.56,9.5,7
5.5,0.3,0.25,1.9,0.029,33,118,0.98972,3.36,0.66,12.5,6
6.6,0.62,0.2,8.7,0.046,81,224,0.99605,3.17,0.44,9.3,5
7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,4
6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5
5.8,0.14,0.15,6.1,0.042,27,123,0.99362,3.06,0.6,9.9,6
7.4,0.18,0.29,1.4,0.042,34,101,0.99384,3.54,0.6,10.5,7
6.3,0.23,0.5,10.4,0.043,61,132,0.99542,2.86,0.46,9.1,6
7.0,0.22,0.26,1.1,0.037,20,71,0.9902,3.1,0.38,11.7,6
6.0,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,5
6.6,0.13,0.29,13.9,0.056,33,95,0.99702,3.17,0.39,9.4,6
8.0,0.25,0.49,9,0.044,31,185,0.998,3.34,0.49,10.0,6
6.3,0.22,0.57,1.4,0.208,14,96,0.9932,3.16,0.43,10.0,6
